battery_percentage,distance_to_task,distance_to_base,uav_health,communication_quality,speed,task_priority,estimated_energy_required,weather_factor,mission_failure
46.83591010202581,51.817415056580714,5.286104585246108,74.84224120086691,12.399195243972468,1.1586944494452998,5,39.158122030739094,1.25,1
95.81071604484288,49.6733952868533,5.021460351865969,57.4056769801934,10.716451116903228,0.9137813301944697,5,30.413304250003844,1.0,0
77.21948505396944,11.224022913118247,35.69712495168899,24.45655165547393,30.19379223522176,0.9516310699666592,3,30.332712011187862,1.6,1
65.88597115674811,64.967206318877,6.904090825349092,93.48081205508399,81.93888532083966,1.0168053538171062,3,38.91310227495593,1.0,0
28.261584437607105,41.95069314019327,68.34461598805434,98.42633063011048,91.42728923569484,1.0443840012379382,4,50.70925160739164,1.0,1
28.259534228577223,28.642158873819476,19.434236345190477,54.4834732169468,45.25915293087383,1.090714171052653,5,25.292604304402968,1.25,1
19.937107034296954,54.17500792719493,35.723207408714906,69.09286459274617,60.68787369460107,1.1065520347561932,3,69.54101278290136,1.6,1
88.62497239086949,21.728754796106212,8.973945950794535,56.02389009949974,73.54473417598427,1.346859614585043,2,24.47472244067918,1.6,0
66.09477599817275,50.07813940801083,38.933147051131805,45.75037207088965,95.76430293265538,1.4114878289912496,4,38.85301136277079,1.0,0
75.18616911266386,7.581228492196069,29.697148134581553,26.18550342862461,92.16390135676885,1.1706550497516273,4,19.48835594907405,1.25,0
16.749682015143208,59.56152244460268,7.902901877019544,56.48541843178391,15.147307304324194,1.888755703904874,2,35.68806895794474,1.0,1
97.44233743376952,34.13110505638571,26.78307733525461,85.47076450875612,32.33492588883527,1.4637676680067455,4,38.00666998536142,1.25,0
85.75762446803584,46.385039433266215,30.443341314485615,21.362516887040286,14.423008955965937,1.744972313640088,5,47.47447392732057,1.25,1
33.04882440765347,19.380458287434436,69.3448969328711,66.56861465441779,65.48881788901463,1.909085398905012,3,62.58418654785692,1.6,1
30.455122212603552,49.00979132279912,18.512581674759403,90.4617686981351,73.94439848253751,0.9957621374909663,1,34.827485817116504,1.0,1
30.589383337541875,55.19561793306298,40.410674999056475,37.40395440114864,37.74550711208603,1.3134493804587615,3,71.51332441398675,1.6,1
40.860590651560706,35.75885714748591,69.17551069791087,34.66046917512497,86.8466717319893,1.3198524820575306,2,73.17615046011613,1.6,1
59.60429668874021,45.15225006401663,56.481248516108785,81.78213005615545,50.75314753703479,1.225366700526025,1,48.582089068979094,1.0,0
51.71532658457984,34.661185048455906,69.56888755733578,40.40691448954347,99.85433635873113,0.810687039861968,5,47.487149926753126,1.0,0
39.75447691683357,63.115939001759955,67.939390452911,35.35874140485188,10.035972333039243,1.779166529333714,5,62.34363024203918,1.0,1
67.00749605140226,37.36149673343075,36.82007023612003,50.239140045538804,19.8540737576701,0.9338711858646834,3,36.400522227157744,1.0,0
26.856978155423555,59.71756608687323,50.26443024158677,51.40016098161744,37.16139186418063,1.9945767175061107,4,65.87344121270439,1.25,1
39.832295125493545,57.087883787566156,12.178803251174822,89.92808504132528,12.295683815834185,1.7275501902934178,4,36.39135284817284,1.0,0
46.14075667996379,31.682813387643176,33.67467362804212,69.47547775469415,80.41055119644257,1.4960120211278174,2,30.075701136172057,1.0,0
53.76594865844805,19.955491970735878,57.586205247335336,52.47691650716715,14.74946090841585,0.985527701289917,4,35.218333726538994,1.0,1
81.73995671840616,31.395338616385114,37.84679586351432,62.75103714286135,77.40816699644445,1.4184715656718965,5,32.48358293131379,1.0,0
31.972271483460577,58.70412942538931,50.67543713312007,96.31721866602193,14.731161291059447,1.1133304890293707,1,47.77211567285279,1.0,1
58.709927265156985,19.796114828260503,53.473836448978005,29.05717412879163,32.74545381877411,1.1027870294516835,3,32.23985576561548,1.0,0
65.35523835327362,39.08836248075371,21.475494180788104,36.61724173797531,85.71491340926767,1.7954350992589825,3,39.028358721766644,1.25,0
18.948285081199806,57.39628861744858,61.920459241266755,97.00229652692443,95.59857648139518,1.2567733087513215,3,53.67518103816006,1.0,1
66.64131241162227,27.976035883344622,34.88845800909663,96.58598788217633,47.3073708394461,1.3408685640689648,4,45.02308708421845,1.6,0
29.49455051341978,46.743626405175334,18.662031735400344,34.173233701181815,97.29450678812962,1.811557685336142,1,32.92058273854008,1.0,1
